Input Parameter,ASAN,ABC,APPLE,CFS,MESA,SHHS,SOF,WSC,Definition,Type,Unit ,비고,Sensor
eeg_f3,F3,F3,,,,,,,Left Frontal EEG,EEG,Unipolar,,Gold cup electrode
eeg_f4,F4,F4,,,,,,,Right Frontal EEG,EEG,Unipolar,,Gold cup electrode
eeg_c3,C3,C3,,C3,,,C3,,Left Central EEG,EEG,Unipolar,,Gold cup electrode
eeg_c4,C4,C4,,C4,,,C4,,Right Central EEG,EEG,Unipolar,,Gold cup electrode
eeg_o1,O1,O1,,,,,,,Left Occipital EEG,EEG,Unipolar,,Gold cup electrode
eeg_o2,O2,O2,,,,,,,Right Occipital EEG,EEG,Unipolar,,Gold cup electrode
eeg_m1,M1,M1,,A1,,,A1,,Left Mastoid EEG,EEG,기준 (reference) ,,Gold cup electrode
eeg_m2,M2,M2,,A2,,,A2,,Right Mastoid EEG,EEG,기준 (reference) ,,Gold cup electrode
eeg_f3_m2,,,,,,,,F3_M2,Left Frontal to Right Mastoid EEG,EEG,Bipolar,,Gold cup electrode
eeg_fz_m2,,,,,,,,Fz_M2,Frontal Central to Right Mastoid EEG,EEG,Bipolar,,Gold cup electrode
eeg_c3_m2,,,C3_M2,,,EEG: C3-A2,,C3_M2,Left Central to Right Mastoid EEG,EEG,Bipolar,,Gold cup electrode
eeg_c4_m1,,,C4_M1,,EEG3: C4-M1,EEG: C4-A1,,,Right Central to Left Mastoid EEG,EEG,Bipolar,,Gold cup electrode
eeg_cz_m2,,,,,,,,Cz_M2,Central to Right Mastoid EEG,EEG,Bipolar,,Gold cup electrode
eeg_o1_m2,,,O1_M2,,,,,O1_M2,Left Occipital to Right Mastoid EEG,EEG,Bipolar,,Gold cup electrode
eeg_o2_m1,,,O2_M1,,,,,,Right Occipital to Left Mastoid EEG,EEG,Bipolar,,
eeg_pz_m2,,,,,,,,Pz_M2,Parietal Central to Right Mastoid EEG,EEG,Bipolar,,Gold cup electrode
eeg_fz_cz,,,,,EEG1: Fz-Cz,,,,Frontal to Central EEG,EEG,Bipolar,,Gold cup electrode
